county	town	latitude	longitude
Berkshire	Becket	NA	NA
Hampshire	Belchertown	42.27	-72.41
Bristol	Berkley	NA	NA
Worcester	Berlin	NA	NA
Franklin	Bernardston	NA	NA
Worcester	Blackstone	NA	NA
Hampden	Blandford	42.18	-72.92
Worcester	Bolton	NA	NA
Barnstable	Bourne	41.73	-70.62
Worcester	Boylston	NA	NA
Barnstable	Brewster	41.76	-70.08
Hampden	Brimfield	NA	NA
Worcester	Brookfield	42.22	-72.1
Franklin	Buckland	NA	NA
Franklin	Charlemont	NA	NA
Worcester	Charlton	NA	NA
Barnstable	Chatham	41.68	-69.96
Berkshire	Cheshire	42.56	-73.16
Hampden	Chester	42.28	-72.98
Hampshire	Chesterfield	NA	NA
Hampden	Chicopee	42.1764	-72.5719
Dukes	Chilmark	NA	NA
Berkshire	Clarksburg	NA	NA
Worcester	Clinton	42.42	-71.69
Franklin	Colrain	NA	NA
Franklin	Conway	NA	NA
Hampshire	Cummington	NA	NA
Berkshire	Dalton	NA	NA
Bristol	Dartmouth	NA	NA
Franklin	Deerfield	42.55	-72.6
Barnstable	Dennis	41.73	-70.2
Bristol	Dighton	NA	NA
Worcester	Douglas	NA	NA
Worcester	Dudley	NA	NA
Worcester	East Brookfield	42.23	-72.05
Hampden	East Longmeadow	NA	NA
Barnstable	Eastham	NA	NA
Hampshire	Easthampton	42.27	-72.67
Dukes	Edgartown	NA	NA
Berkshire	Egremont	NA	NA
Franklin	Erving	NA	NA
Bristol	Fairhaven	NA	NA
Bristol	Fall River	41.7136	-71.1015
Barnstable	Falmouth	41.55	-70.61
Worcester	Fitchburg	42.5912	-71.8156
Berkshire	Florida	NA	NA
Bristol	Freetown	NA	NA
Worcester	Gardner	42.5845	-71.9868
Franklin	Gill	NA	NA
Hampshire	Goshen	NA	NA
Dukes	Gosnold	NA	NA
Worcester	Grafton	NA	NA
Hampshire	Granby	42.26	-72.52
Hampden	Granville	NA	NA
Berkshire	Great Barrington	42.19	-73.36
Franklin	Greenfield	42.61	-72.6
Hampshire	Hadley	NA	NA
Hampden	Hampden	NA	NA
Berkshire	Hancock	NA	NA
Worcester	Hardwick	NA	NA
Barnstable	Harwich	41.6923	-70.0694
Hampshire	Hatfield	42.37	-72.61
Franklin	Hawley	NA	NA
Franklin	Heath	NA	NA
Berkshire	Hinsdale	NA	NA
Worcester	Holden	NA	NA
Hampden	Holland	42.05	-72.15
Hampden	Holyoke	42.2125	-72.6411
Worcester	Hopedale	42.13	-71.54
Worcester	Hubbardston	NA	NA
Hampshire	Huntington	42.24	-72.88
Worcester	Lancaster	NA	NA
Berkshire	Lanesborough	NA	NA
Berkshire	Lee	42.31	-73.25
Worcester	Leicester	NA	NA
Berkshire	Lenox	42.36	-73.29
Worcester	Leominster	42.5209	-71.7717
Franklin	Leverett	NA	NA
Franklin	Leyden	NA	NA
Hampden	Longmeadow	42.05	-72.57
Hampden	Ludlow	NA	NA
Worcester	Lunenburg	42.59	-71.73
Plymouth	Marion	41.7042	-70.7629
Barnstable	Mashpee	NA	NA
Plymouth	Mattapoisett	41.6666	-70.8056
Worcester	Mendon	NA	NA
Hampshire	Middlefield	NA	NA
Worcester	Millbury	NA	NA
Worcester	Millville	NA	NA
Franklin	Monroe	NA	NA
Hampden	Monson	42.099	-72.3048
Franklin	Montague	NA	NA
Berkshire	Monterey	NA	NA
Hampden	Montgomery	NA	NA
Berkshire	Mount Washington	NA	NA
Nantucket	Nantucket	41.27	-70.09
Berkshire	New Ashford	NA	NA
Bristol	New Bedford	41.6697	-70.9428
Worcester	New Braintree	NA	NA
Berkshire	New Marlborough	NA	NA
Franklin	New Salem	NA	NA
